# Imperial Aramaic C/C++ keywords (real translations) | script Imperial Aramaic | (C) 1993-2026 Abhishek Choudhary GPL
native	romenagri	c
𐡄𐡍	hana	if
𐡏𐡁𐡃	aebada	do
